41561,41620,120,686,1172,Terminated,1,1,0.93,0.29,,
41559,41621,120,686,906,Terminated,1,1,0.87,0.28,,
41560,41622,120,686,264,Terminated,1,1,0.82,0.31,,
41560,41629,120,686,648,Terminated,1,1,0.77,0.28,,
41559,41614,120,686,261,Terminated,1,1,0.92,0.3,,
41559,41616,120,686,682,Terminated,1,1,0.94,0.29,,
41557,41618,120,686,560,Terminated,1,1,1.09,0.27,,
41560,41616,120,686,1105,Terminated,1,1,0.96,0.25,,
41557,41612,120,686,476,Terminated,1,1,1.19,0.25,,
41558,41618,120,686,472,Terminated,1,1,1.01,0.3,,
41558,41614,120,686,432,Terminated,1,1,0.97,0.26,,
41557,41610,120,686,546,Terminated,1,1,1.16,0.26,,
41558,41617,120,686,181,Terminated,1,1,1.09,0.29,,
41559,41619,120,686,694,Terminated,1,1,0.89,0.29,,
41558,41613,120,686,375,Terminated,1,1,0.82,0.31,,
41561,41622,120,686,194,Terminated,1,1,0.86,0.29,,
41562,41608,120,686,1169,Terminated,1,1,1,0.37,,
41562,41619,120,686,1244,Terminated,1,1,0.83,0.3,,
41561,41626,120,686,773,Terminated,1,1,0.87,0.27,,
41562,41621,120,686,399,Terminated,1,1,0.89,0.29,,
41558,41620,120,686,380,Terminated,1,1,0.93,0.29,,
41562,41623,120,686,965,Terminated,1,1,0.75,0.29,,
41562,41615,120,686,1282,Terminated,1,1,0.86,0.34,,
41557,41608,120,686,982,Terminated,1,1,1.16,0.28,,
41560,41622,120,686,1194,Terminated,1,1,0.85,0.33,,
41560,41622,120,686,603,Terminated,1,1,0.94,0.29,,
41562,41621,120,686,1207,Terminated,1,1,0.86,0.29,,
41562,41618,120,686,637,Terminated,1,1,0.9,0.3,,
41560,41621,120,686,1180,Terminated,1,1,0.98,0.29,,
41558,41616,120,686,925,Terminated,1,1,1.09,0.27,,
41557,41616,120,686,218,Terminated,1,1,1.19,0.26,,
41560,41618,120,686,1097,Terminated,1,1,0.96,0.27,,
41558,41615,120,686,554,Terminated,1,1,1,0.28,,
41559,41616,120,686,1131,Terminated,1,1,0.79,0.31,,
41560,41616,120,686,798,Terminated,1,1,0.92,0.33,,
41559,41615,120,686,77,Terminated,1,1,0.89,0.3,,
41558,41613,120,686,485,Terminated,1,1,1.04,0.27,,
41559,41614,120,686,1081,Terminated,1,1,1.03,0.26,,
41557,41616,120,686,953,Terminated,1,1,1,0.28,,
41561,41618,120,686,826,Terminated,1,1,1.33,0.31,,
41561,41615,120,686,1156,Terminated,1,1,0.88,0.32,,
41561,41614,120,686,955,Terminated,1,1,0.85,0.31,,
41559,41611,120,686,1153,Terminated,1,1,1,0.33,,
41560,41639,120,686,900,Terminated,1,1,0.76,0.28,,
41557,41615,120,686,27,Terminated,1,1,1.16,0.29,,
41558,41621,120,686,104,Terminated,1,1,0.93,0.26,,
41562,41615,120,686,1029,Terminated,1,1,1,0.27,,
41561,41619,120,686,751,Terminated,1,1,0.9,0.28,,
41561,41618,120,686,789,Terminated,1,1,0.86,0.3,,
41559,41617,120,686,587,Terminated,1,1,0.96,0.29,,
41558,41618,120,686,359,Terminated,1,1,0.96,0.29,,
41558,41613,120,686,230,Terminated,1,1,1.09,0.29,,
41557,41612,120,686,540,Terminated,1,1,1.11,0.27,,
41561,41620,120,686,741,Terminated,1,1,0.88,0.28,,
41559,41615,120,686,789,Terminated,1,1,0.95,0.3,,
41558,41618,120,686,189,Terminated,1,1,1.04,0.29,,
41560,41629,120,686,815,Terminated,1,1,0.91,0.31,,
41562,41618,120,686,1274,Terminated,1,1,0.91,0.31,,
41560,41616,120,686,1025,Terminated,1,1,1.04,0.3,,
41561,41620,120,686,671,Terminated,1,1,0.94,0.29,,
41563,41612,120,686,446,Terminated,1,1,0.98,0.29,,
41559,41617,120,686,358,Terminated,1,1,0.86,0.3,,
41558,41614,120,686,186,Terminated,1,1,0.93,0.29,,
41558,41619,120,686,60,Terminated,1,1,1,0.3,,
41559,41619,120,686,576,Terminated,1,1,0.88,0.28,,
41562,41618,120,686,656,Terminated,1,1,0.93,0.29,,
41558,41619,120,686,26,Terminated,1,1,1,0.28,,
41558,41617,120,686,421,Terminated,1,1,1,0.23,,
41559,41620,120,686,1229,Terminated,1,1,0.84,0.29,,
41561,41617,120,686,1053,Terminated,1,1,0.95,0.3,,
41562,41621,120,686,807,Terminated,1,1,0.81,0.32,,
41558,41618,120,686,942,Terminated,1,1,0.94,0.27,,
41557,41612,120,686,419,Terminated,1,1,1.09,0.27,,
41562,41622,120,686,981,Terminated,1,1,0.72,0.32,,
41560,41613,120,686,988,Terminated,1,1,0.91,0.3,,
41557,41611,120,686,528,Terminated,1,1,1.01,0.3,,
41559,41616,120,686,1013,Terminated,1,1,0.95,0.27,,
41559,41613,120,686,440,Terminated,1,1,0.97,0.25,,
41558,41619,120,686,376,Terminated,1,1,0.91,0.3,,
41557,41612,120,686,519,Terminated,1,1,1.24,0.26,,
41561,41614,120,686,23,Terminated,1,1,1,0.31,,
41561,41625,120,686,808,Terminated,1,1,0.87,0.27,,
41559,41614,120,686,751,Terminated,1,1,0.88,0.31,,
41560,41617,120,686,999,Terminated,1,1,0.96,0.3,,
41560,41619,120,686,977,Terminated,1,1,0.92,0.29,,
41557,41616,120,686,448,Terminated,1,1,1.11,0.25,,
41560,41620,120,686,1285,Terminated,1,1,0.92,0.28,,
41561,41622,120,686,1148,Terminated,1,1,0.95,0.32,,
41558,41619,120,686,370,Terminated,1,1,0.91,0.29,,
41562,41623,120,686,718,Terminated,1,1,0.91,0.27,,
41558,41617,120,686,559,Terminated,1,1,1.07,0.27,,
41559,41610,120,686,992,Terminated,1,1,0.95,0.27,,
41560,41610,120,686,1265,Terminated,1,1,0.9,0.32,,
41562,41620,120,686,1124,Terminated,1,1,0.93,0.3,,
41560,41621,120,686,711,Terminated,1,1,0.9,0.29,,
41558,41624,120,686,220,Terminated,1,1,0.85,0.28,,
41562,41618,120,686,1030,Terminated,1,1,0.95,0.26,,
41562,41619,120,686,697,Terminated,1,1,0.77,0.31,,
41557,41612,120,686,456,Terminated,1,1,1.24,0.26,,
41563,41615,120,686,514,Terminated,1,1,0.85,0.26,,
41559,41615,120,686,1099,Terminated,1,1,0.86,0.28,,
41562,41616,120,686,688,Terminated,1,1,0.88,0.3,,
41559,41620,120,686,1300,Terminated,1,1,0.93,0.28,,
41558,41622,120,686,248,Terminated,1,1,0.84,0.28,,
41559,41616,120,686,663,Terminated,1,1,0.9,0.29,,
41558,41612,120,686,532,Terminated,1,1,1,0.28,,
41559,41618,120,686,904,Terminated,1,1,0.97,0.31,,
41558,41613,120,686,30,Terminated,1,1,0.99,0.29,,
41561,41617,120,686,588,Terminated,1,1,1,0.29,,
41559,41623,120,686,598,Terminated,1,1,0.89,0.28,,
41560,41619,120,686,785,Terminated,1,1,0.93,0.3,,
41558,41619,120,686,870,Terminated,1,1,0.97,0.37,,
41558,41622,120,686,360,Terminated,1,1,1,0.3,,
41559,41614,120,686,1023,Terminated,1,1,0.91,0.28,,
41562,41618,120,686,1195,Terminated,1,1,0.82,0.32,,
41559,41617,120,686,653,Terminated,1,1,1,0.3,,
41558,41617,120,686,29,Terminated,1,1,0.98,0.29,,
41562,41624,120,686,1048,Terminated,1,1,0.76,0.29,,
41562,41625,120,686,713,Terminated,1,1,0.82,0.28,,
41558,41615,120,686,762,Terminated,1,1,0.97,0.29,,
41560,41617,120,686,273,Terminated,1,1,0.86,0.33,,
41557,41614,120,686,479,Terminated,1,1,1.17,0.26,,
41558,41617,120,686,578,Terminated,1,1,0.97,0.28,,
41558,41618,120,686,52,Terminated,1,1,1.05,0.31,,
